batch_id,entry_id,title,candidate_file,audited_file,audit_source_type,candidate_status,source_type,size,inspected_pixels,disallowed_pixels,disallowed_ratio,disallowed_bbox,dominant_disallowed,status,notes
final,J-72,,assets/ponchi/final/J-72.webp,assets/ponchi/final/J-72.webp,direct_image,,,1254x627,786258,7281,0.009260,"29,56,1207,517",blue:4076;neutral:1774;dark:864;purple:464;orange:41,pass,
final,J-73,,assets/ponchi/final/J-73.webp,assets/ponchi/final/J-73.webp,direct_image,,,1254x627,786258,6686,0.008504,"56,51,1170,546",blue:4672;neutral:912;purple:371;dark:293;orange:292,pass,
final,J-78,,assets/ponchi/final/J-78.webp,assets/ponchi/final/J-78.webp,direct_image,,,1254x627,786258,0,0.000000,,,pass,
final,J-79,,assets/ponchi/final/J-79.webp,assets/ponchi/final/J-79.webp,direct_image,,,1254x627,786258,0,0.000000,,,pass,
final,J-91,,assets/ponchi/final/J-91.webp,assets/ponchi/final/J-91.webp,direct_image,,,1254x627,786258,5763,0.007330,"12,30,1217,534",blue:4095;dark:1657;purple:11,pass,
final,J-70,,assets/ponchi/final/J-70.webp,assets/ponchi/final/J-70.webp,direct_image,,,1254x627,786258,7230,0.009195,"21,40,1199,529",blue:5177;dark:1968;neutral:76;orange:5;cyan_teal:2,pass,
final,J-71,,assets/ponchi/final/J-71.webp,assets/ponchi/final/J-71.webp,direct_image,,,1254x627,786258,5083,0.006465,"60,42,1145,516",blue:3649;dark:1300;neutral:86;purple:30;orange:12,pass,
final,J-74,,assets/ponchi/final/J-74.webp,assets/ponchi/final/J-74.webp,direct_image,,,1254x627,786258,5904,0.007509,"22,29,1210,576",blue:3120;dark:2247;neutral:435;purple:102,pass,
final,J-75,,assets/ponchi/final/J-75.webp,assets/ponchi/final/J-75.webp,direct_image,,,1254x627,786258,6535,0.008312,"34,17,1174,570",blue:5607;dark:554;neutral:264;cyan_teal:87;purple:19,pass,
final,J-76,,assets/ponchi/final/J-76.webp,assets/ponchi/final/J-76.webp,direct_image,,,1254x627,786258,0,0.000000,,,pass,
final,J-77,,assets/ponchi/final/J-77.webp,assets/ponchi/final/J-77.webp,direct_image,,,1254x627,786258,7042,0.008956,"44,31,1183,522",blue:6611;dark:339;neutral:74;purple:12;orange:3,pass,
final,J-80,,assets/ponchi/final/J-80.webp,assets/ponchi/final/J-80.webp,direct_image,,,1254x627,786258,0,0.000000,,,pass,
final,J-81,,assets/ponchi/final/J-81.webp,assets/ponchi/final/J-81.webp,direct_image,,,1254x627,786258,0,0.000000,,,pass,
final,I-1,,assets/ponchi/final/I-1.webp,assets/ponchi/final/I-1.webp,direct_image,,,1254x627,786258,3435,0.004369,"2,69,1235,514",dark:1914;blue:1075;neutral:435;purple:6;cyan_teal:4,pass,
final,I-2,,assets/ponchi/final/I-2.webp,assets/ponchi/final/I-2.webp,direct_image,,,1254x627,786258,6119,0.007782,"30,74,1195,456",dark:3044;blue:2814;neutral:257;purple:2;cyan_teal:2,pass,
